,Beneficios,Métricas
Auntenticación facial en ATM´s,11,9
Autenticación facial en portal Web,12,6
Contratación de productos y servicios con autenticación facial en web,12,8
Autorización de operaciones con reconocimiento facial en web,12,8
Autenticación facial en aplicaciones móviles,11,10
Análisis forense en ATMs,9,4
Análisis forense con CCTV sucursales,9,4
Sistema centralizado para tracking,9,4
Identificación de delincuentes en listas negras en tiempo real en ATMs y sucursales,4,4
"Identificación de personas listas blancas, listas VIP en podios",2,7
Identificación delincuentes de listas negras en podios,4,2
Identificar listas negras en edificios,3,5
Control de acceso para áreas seguras,8,4
Control de accesos de personas en edificios,9,3
Control de acceso vehicular en edificios,8,3
Registro facial de visitas en edificios,8,4
Identificación de personas en podios,9,7
Reconocimiento de sentimientos de personas que visitan las sucursales con CCTV,4,3
Identificación de emociones desde podio,5,3
Identificación de emociones desde ATMs,4,3
Autenticación facial documental,8,9
Reconocimiento de datos demográficos,4,3
